position_type,position_size,exchange,crypto,pair,margin,open_time,quantity,open_price,transaction_cost_pct,open_transaction_cost,open_value,close_time,close_price,closed,close_transaction_cost,close_value,pnl
short,302223.74876014004,okx,bitcoin,BTCUSDCM,coin,2023-10-17 09:00:00,10.67986964095841,28284.3,0.0005,151.11187438007002,302072.63688575994,2023-10-19 09:00:00,28260.3,True,150.90816000718848,301665.41185436974,407.2250313902041
long,302502.02672431275,okx,bitcoin,BTC/USDT,coin,2023-10-24 01:00:00,9.63714051041809,31357.8,0.001,302.50202672431277,302199.5246975884,2023-11-04 16:00:00,34712.3,True,334.52731253978595,334192.7852272461,31993.26052965771
short,302199.5246975884,okx,bitcoin,BTCUSDCM,coin,2023-10-24 01:00:00,9.626458475350962,31376.9,0.0005,151.0997623487942,302048.4249352396,2023-11-04 16:00:00,34731.1,True,167.1687459766309,334170.32320728514,-32121.89827204554
long,623179.1335566549,bybit,ethereum,ETH/USDT,usd,2023-10-24 09:00:00,344.117069117425,1809.14,0.001,623.179133556655,622555.9544230982,2024-02-04 00:00:00,2303.59,True,792.7046392482091,791911.9346089609,169355.98018586263
short,622555.9544230982,bybit,ethereum,ETHUSDT,usd,2023-10-24 09:00:00,343.9867475927343,1808.83,0.00055,342.40577493270405,622213.5486481655,2024-02-04 00:00:00,2302.54,True,435.6237851911959,791607.6220169831,-169394.07336881757
long,151262.31891191838,okx,ethereum,ETH/USDT,coin,2023-10-25 01:00:00,85.02186246315041,1777.32,0.001,151.26231891191838,151111.05659300648,2023-11-03 08:00:00,1798.17,True,152.8837624253632,152730.87866293782,1619.8220699313388
short,151111.05659300648,okx,ethereum,ETHUSDCM,coin,2023-10-25 01:00:00,84.97648283693411,1777.38,0.0005,75.55552829650324,151035.50106470997,2023-11-03 08:00:00,1798.68,True,76.42275007456833,152769.07739906208,-1733.5763343521103
long,453786.95673575514,okx,ethereum,ETH/USDT,usd,2023-10-25 01:00:00,255.0655873894512,1777.32,0.001,453.78695673575515,453333.1697790194,2023-11-04 16:00:00,1837.54,True,468.69321945161215,468224.5262321605,14891.35645314114
short,453333.1697790194,okx,ethereum,ETHUSDT,usd,2023-10-25 01:00:00,254.92227721717865,1777.43,0.0005,226.6665848895097,453106.50319412985,2023-11-04 16:00:00,1837.46,True,234.20474374773855,468175.28275172936,-15068.779557599511
long,907717.0960216802,okx,bitcoin,BTC/USDT,usd,2023-10-25 17:00:00,26.516289714828808,34198.2,0.001,907.7170960216802,906809.3789256585,2023-11-25 16:00:00,37652.0,True,998.3913403427342,997392.9490023915,90583.57007673301
short,906809.3789256585,okx,bitcoin,BTCUSDT,usd,2023-10-25 17:00:00,26.498614901698218,34203.9,0.0005,453.40468946282925,906355.9742361957,2023-11-25 16:00:00,37655.9,True,498.914596438429,997330.2782804195,-90974.30404422386
long,932036.5805170488,binance,bitcoin,BTC/USDT,coin,2023-10-26 09:00:00,26.873759290004337,34647.35,0.001,932.0365805170488,931104.5439365318,2024-04-13 01:00:00,67116.52,True,1803.6732028627619,1801869.5296598992,870764.9857233674
short,931104.5439365318,binance,bitcoin,BTCUSDCM,coin,2023-10-26 09:00:00,26.85106137932859,34659.3,0.0005,465.55227196826587,930638.9916645635,2024-04-13 01:00:00,67120.0,True,901.1216198902675,1801342.1181606448,-870703.1264960812
long,2796109.7415511464,binance,bitcoin,BTC/USDT,usd,2023-10-26 09:00:00,80.621277870013,34647.35,0.001,2796.1097415511463,2793313.631809595,2024-04-19 01:00:00,63470.09,True,5117.039762324734,5111922.722562409,2318609.090752814
short,2793313.631809595,binance,bitcoin,BTCUSDT,usd,2023-10-26 09:00:00,80.57806015232046,34648.6,0.0005,1396.6568159047974,2791916.9749936904,2024-04-19 01:00:00,63445.0,True,2556.137513181986,5109718.8888507895,-2317801.913857099
long,312035.73794654215,bybit,bitcoin,BTC/USDT,coin,2023-10-29 16:00:00,9.099296579152188,34258.0,0.001,312.03573794654216,311723.70220859564,2024-01-21 00:00:00,41633.72,True,378.83756597338004,378458.72840740666,66735.02619881101
