position_type,position_size,exchange,crypto,pair,margin,open_time,quantity,open_price,transaction_cost_pct,open_transaction_cost,open_value,close_time,close_price,closed,close_transaction_cost,close_value,pnl
long,149522.99112746687,okx,ethereum,ETH/USDT,coin,2023-03-22 08:00:00,83.00785665894571,1799.51,0.001,149.52299112746687,149373.4681363394,2023-03-22 16:00:00,1785.1,True,148.177324921884,148029.1475969621,-1344.3205393772805
short,149373.4681363394,okx,ethereum,ETHUSDCM,coin,2023-03-22 08:00:00,82.72042230548143,1804.86,0.0005,74.6867340681697,149298.7814022712,2023-03-22 16:00:00,1788.85,True,73.98721372058023,147900.4402274399,1398.3411748313229
long,149516.1545770005,okx,ethereum,ETH/USDT,coin,2023-03-23 00:00:00,86.99280047898864,1717.0,0.001,149.51615457700052,149366.6384224235,2023-03-23 08:00:00,1737.21,True,151.12476292010385,150973.63815718374,1606.999734760233
short,149366.6384224235,okx,ethereum,ETHUSDCM,coin,2023-03-23 00:00:00,86.81531422278503,1719.65,0.0005,74.68331921121175,149291.9551032123,2023-03-23 08:00:00,1740.84,True,75.56578580579655,151056.00582578732,-1764.0507225750189
long,299007.86741508485,okx,bitcoin,BTC/USDT,coin,2023-03-24 00:00:00,10.529893489696724,28367.7,0.001,299.00786741508483,298708.85954766977,2023-03-24 08:00:00,28220.6,True,297.15991221533534,296862.75230312004,-1846.1072445497266
short,298708.85954766977,okx,bitcoin,BTCUSDCM,coin,2023-03-24 00:00:00,10.51021611589898,28406.6,0.0005,149.35442977383488,298559.50511789595,2023-03-24 08:00:00,28257.5,True,148.49621594750775,296843.935679068,1715.5694388279808
long,149491.56592725284,okx,ethereum,ETH/USDT,coin,2023-03-24 16:00:00,85.53187461989737,1746.04,0.001,149.49156592725285,149342.0743613256,2023-03-25 00:00:00,1763.83,True,150.86368641081356,150712.82272440274,1370.7483630771458
short,149342.0743613256,okx,ethereum,ETHUSDCM,coin,2023-03-24 16:00:00,85.38152846528219,1748.24,0.0005,74.6710371806628,149267.40332414492,2023-03-25 00:00:00,1765.71,True,75.37950931321672,150683.6391171202,-1416.2357929752907
long,448474.6977817585,okx,ethereum,ETH/USDT,usd,2023-03-24 16:00:00,256.59562385969207,1746.04,0.001,448.4746977817585,448026.2230839767,2023-03-25 00:00:00,1763.83,True,452.59105923244067,452138.46817320824,4112.245089231525
short,448026.2230839767,okx,ethereum,ETHUSDT,usd,2023-03-24 16:00:00,256.5305022155205,1745.61,0.0005,224.01311154198837,447802.20997243474,2023-03-25 00:00:00,1763.87,True,226.2432284714451,452260.21371441876,-4458.003741984023
