https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume,Volume Base Asset,tradecount
1706313600000,2024-01-27,BTCUSD_PERP,41804.0,42192.9,41358.5,42107.9,7713472,18463.88442668,229641
1706227200000,2024-01-26,BTCUSD_PERP,39939.6,42234.9,39793.3,41803.1,20326621,49390.1616376,542124
1706140800000,2024-01-25,BTCUSD_PERP,40072.4,40289.1,39522.4,39940.0,10349284,25930.96219154,343543
1706054400000,2024-01-24,BTCUSD_PERP,39868.7,40544.7,39481.6,40072.4,13796032,34536.80861607,433778
1705968000000,2024-01-23,BTCUSD_PERP,39507.5,40128.5,38504.2,39869.5,20701112,52795.34818964,610845
1705881600000,2024-01-22,BTCUSD_PERP,41562.7,41672.4,39298.0,39507.5,27226120,67285.71406721,723922
1705795200000,2024-01-21,BTCUSD_PERP,41661.5,41863.2,41477.8,41562.7,4058652,9737.30142821,132816
1705708800000,2024-01-20,BTCUSD_PERP,41629.3,41845.2,41426.1,41661.6,5155929,12397.23495786,177616
1705622400000,2024-01-19,BTCUSD_PERP,41280.0,42159.0,40224.9,41629.2,23537157,57160.96683887,674614
1705536000000,2024-01-18,BTCUSD_PERP,42728.2,42884.9,40600.7,41280.1,20750366,49686.36425863,608838
1705449600000,2024-01-17,BTCUSD_PERP,43106.6,43180.0,42157.3,42728.2,13216114,30993.63628905,453663
1705363200000,2024-01-16,BTCUSD_PERP,42471.9,43565.8,41999.6,43106.6,16608249,38733.70826193,562758
1705276800000,2024-01-15,BTCUSD_PERP,41681.5,43387.7,41661.0,42474.7,15463330,36314.22036898,519720
1705190400000,2024-01-14,BTCUSD_PERP,42826.4,43065.7,41662.2,41681.5,12402889,29174.03334573,423029
1705104000000,2024-01-13,BTCUSD_PERP,42758.0,43251.9,42411.8,42826.4,15368634,35883.1766337,463873
1705017600000,2024-01-12,BTCUSD_PERP,46360.7,46547.4,41293.5,42754.4,36436504,82448.98623455,994813
1704931200000,2024-01-11,BTCUSD_PERP,46672.7,49046.9,45607.8,46360.7,44864426,95529.51552733,1149056
1704844800000,2024-01-10,BTCUSD_PERP,46127.2,47732.7,44311.0,46672.6,51257207,111910.84517324,1331808
1704758400000,2024-01-09,BTCUSD_PERP,46993.5,48038.3,44600.0,46127.2,40151453,86410.4196563,1077046
1704672000000,2024-01-08,BTCUSD_PERP,43932.5,47324.4,43154.0,46993.5,33746388,74531.55431426,851538
1704585600000,2024-01-07,BTCUSD_PERP,43978.7,44492.9,43599.7,43930.7,10803901,24524.14215662,360499
1704499200000,2024-01-06,BTCUSD_PERP,44162.6,44221.3,43412.0,43978.7,8745634,19963.7064934,330624
1704412800000,2024-01-05,BTCUSD_PERP,44175.0,44399.9,42320.8,44162.7,27655211,63317.87620342,697595
1704326400000,2024-01-04,BTCUSD_PERP,42849.9,44848.0,42632.8,44172.8,24313763,55685.27743314,585209
1704240000000,2024-01-03,BTCUSD_PERP,44992.9,45581.8,40111.0,42849.9,47974235,111603.48637804,1016248
1704153600000,2024-01-02,BTCUSD_PERP,44243.2,45979.8,44221.0,44992.9,32889751,72699.16727311,703652
1704067200000,2024-01-01,BTCUSD_PERP,42305.5,44269.7,42205.1,44243.1,12547429,29097.14905989,309855
1703980800000,2023-12-31,BTCUSD_PERP,42173.8,42928.9,41986.0,42305.4,9898625,23300.7341082,255069
1703894400000,2023-12-30,BTCUSD_PERP,42101.8,42650.1,41555.1,42173.7,10761124,25525.49789788,279494
1703808000000,2023-12-29,BTCUSD_PERP,42615.4,43181.4,41275.0,42101.8,20747326,49031.37653259,478853
1703721600000,2023-12-28,BTCUSD_PERP,43484.2,43869.3,42322.2,42615.3,17686502,41161.3518493,426149
1703635200000,2023-12-27,BTCUSD_PERP,42546.5,43718.6,42156.4,43484.1,14187564,32993.50170045,372307
1703548800000,2023-12-26,BTCUSD_PERP,43624.2,43650.3,41651.1,42546.5,18971060,44564.44533261,448425
1703462400000,2023-12-25,BTCUSD_PERP,43041.9,43875.0,42778.8,43624.1,10975108,25259.56677087,282625
1703376000000,2023-12-24,BTCUSD_PERP,43747.0,44005.8,42525.1,43042.4,10958700,25244.20458287,253174
1703289600000,2023-12-23,BTCUSD_PERP,44030.8,44053.4,43338.1,43747.0,6950528,15906.95870592,189937
1703203200000,2023-12-22,BTCUSD_PERP,43901.1,44475.3,43442.7,44030.8,15296914,34868.90697515,364108
1703030400000,2023-12-20,BTCUSD_PERP,42280.5,44340.8,42207.9,43709.4,28657359,65818.9816125,554146
1702857600000,2023-12-18,BTCUSD_PERP,41356.2,42779.3,40533.0,42665.0,22621651,54621.89149548,591827
1702771200000,2023-12-17,BTCUSD_PERP,42267.8,42423.7,41229.1,41356.2,14312496,34165.29670985,412057
1702684800000,2023-12-16,BTCUSD_PERP,41958.9,42727.6,41621.5,42267.8,9290316,21967.11064792,317367
1702598400000,2023-12-15,BTCUSD_PERP,43035.1,43103.3,41664.1,41958.3,17867917,42137.72805348,482660
1702512000000,2023-12-14,BTCUSD_PERP,42879.9,43444.4,41045.4,43035.2,24068698,56373.48308656,598070
1702425600000,2023-12-13,BTCUSD_PERP,41481.3,43500.0,40555.5,42879.9,22591625,54048.03823609,563117
1702339200000,2023-12-12,BTCUSD_PERP,41240.2,42119.7,40677.0,41481.3,22156450,53405.03175638,555238
1702166400000,2023-12-10,BTCUSD_PERP,43751.5,44092.7,43566.3,43813.1,8177478,18650.42278508,278701
1702080000000,2023-12-09,BTCUSD_PERP,44193.9,44397.1,43562.6,43751.7,11862413,26949.65016168,338911
1701993600000,2023-12-08,BTCUSD_PERP,43301.4,44765.6,43108.0,44193.8,18695178,42673.69548637,471904
1701907200000,2023-12-07,BTCUSD_PERP,43778.3,44060.0,42830.0,43304.1,21844008,50296.16359044,532013
1701820800000,2023-12-06,BTCUSD_PERP,44093.8,44317.0,43359.1,43778.2,21417080,48800.49245374,558283
1701734400000,2023-12-05,BTCUSD_PERP,41998.1,44519.3,41405.9,44093.8,32601503,75691.02684744,742318
1701648000000,2023-12-04,BTCUSD_PERP,40004.1,42473.2,40004.0,41998.1,34164520,82405.27019268,722256
1701561600000,2023-12-03,BTCUSD_PERP,39466.1,40364.7,39292.1,40004.1,11665548,29351.4999619,319854
1701475200000,2023-12-02,BTCUSD_PERP,38687.3,39884.5,38652.4,39466.4,12077527,30791.12507599,319360
1701388800000,2023-12-01,BTCUSD_PERP,37719.3,39006.1,37610.4,38687.3,17526998,45532.18420727,459638
1701302400000,2023-11-30,BTCUSD_PERP,37847.7,38139.0,37450.1,37719.3,7931684,21008.7265899,287874
1701216000000,2023-11-29,BTCUSD_PERP,37824.5,38550.5,37532.2,37847.7,13833250,36436.82803593,393371
1701129600000,2023-11-28,BTCUSD_PERP,37248.0,38396.1,36872.0,37824.6,15943547,42264.00329622,400883
1701043200000,2023-11-27,BTCUSD_PERP,37458.2,37580.0,36705.7,37248.0,13358445,36037.60575007,347693
1700956800000,2023-11-26,BTCUSD_PERP,37797.6,37832.8,37137.4,37458.3,9342447,24916.96556675,215636
1700870400000,2023-11-25,BTCUSD_PERP,37738.9,37915.0,37603.7,37797.6,3745831,9918.78610312,126877
1700784000000,2023-11-24,BTCUSD_PERP,37293.1,38438.9,37258.8,37739.0,21240094,56108.18797405,486960
1700697600000,2023-11-23,BTCUSD_PERP,37423.7,37653.8,36866.2,37293.0,10044470,26940.43714652,278031
1700611200000,2023-11-22,BTCUSD_PERP,35729.5,37881.9,35600.0,37423.7,18934403,51413.83318336,461148
1700524800000,2023-11-21,BTCUSD_PERP,37464.7,37676.9,35710.3,35729.6,26196655,71158.34301642,534617
1700438400000,2023-11-20,BTCUSD_PERP,37382.1,37777.9,36600.0,37464.8,17604817,47180.96726495,429999
1700352000000,2023-11-19,BTCUSD_PERP,36586.4,37526.4,36390.0,37382.2,7156784,19426.12332737,207122
1700265600000,2023-11-18,BTCUSD_PERP,36623.4,36875.1,36204.5,36585.7,5545786,15177.52893522,173826
